Fig. 3, Smith et al. 2010, ULIRG
wave 	      F/Fmax
7.0671363	-9.833917E-4
7.1615415	-0.001028779
7.2454576	-0.0010691232
7.308376		-0.003983997
7.4657364	-0.0011750269
7.602173		0.010297875
7.7176857	0.030434709
7.8016934	0.044817444
7.906771		0.07361317
7.980363		0.09953941
8.064517		0.13699906
8.148616		0.16580486
8.222244		0.19750033
8.295909		0.23496504
8.359102		0.2753194
8.432804		0.31855333
8.4750185	0.35891777
8.54872		0.4021517
8.601498		0.45404956
8.664691		0.4944039
8.685964		0.54054767
8.749121		0.5751328
8.780883		0.6212715
8.833569		0.6587463
8.865238		0.69046193
8.89689		0.71929294
8.939087		0.7567728
8.981264		0.791368
9.012935		0.82308364
9.055076		0.85190964
9.097144		0.86919713
9.149701		0.8864796
9.18128		0.9037722
9.202405		0.92683905
9.2548895	0.93258303
9.3179		0.94409126
9.359949		0.9584941
9.359949		0.9584941
9.3915825	0.98444057
9.402109		0.99020475
9.454556		0.99017954
9.5385275	0.998793
9.611898		0.9901039
9.706139		0.96409696
9.800324		0.9294362
9.925978		0.8947603
10.062084	0.8543101
10.124948	0.8427414
10.229512	0.7907679
10.3343525	0.7820636
10.407687	0.76760525
10.449534	0.75027734
10.575298	0.73290914
10.690408	0.68958443
10.815933	0.6347163
10.899464	0.574099
10.97256		0.5221406
11.077106	0.46728247
11.181745	0.42684743
11.307288	0.37486383
11.506203	0.3141911
11.684157	0.25641307
11.882962	0.17843263
12.050446	0.123544246
12.270376	0.06863065
12.469438	0.031034831
12.658102	0.007867133
12.930792	0.0019667833
13.255965	0.0018104492
13.612626	0.0045236014
13.895805	-0.0013817913
14.262882	-0.010212144
14.535626	-0.0074586472
14.839913	0.006818182
