Fig. 2, Smith et al. 2010, M81 nucleus
wave 	      F
8.334495		0.1904762
8.449477		0.1968254
8.5069685	0.20444444
8.593205		0.21587302
8.708188		0.20190476
8.851916		0.19555555
8.938153		0.20126984
9.0818815	0.20698413
9.196864		0.20761904
9.283101		0.21396825
9.283101		0.22285715
9.369338		0.23047619
9.455575		0.23873016
9.513066		0.2463492
9.628049		0.25968254
9.800523		0.2711111
9.944251		0.28126985
10.059234	0.2926984
10.231708	0.2952381
10.375436	0.30349207
10.54791		0.30984128
10.691638	0.30793652
10.892858	0.30666667
11.065331	0.30920634
11.094077	0.31873015
11.180314	0.34349206
11.209059	0.39936507
11.295296	0.42285714
11.352787	0.39174604
11.352787	0.39174604
11.439024	0.35809523
11.46777		0.33968255
11.525261	0.3288889
11.582752	0.31238094
11.697735	0.30476192
11.783972	0.29650792
11.841463	0.29142857
11.985191	0.28698412
12.071428	0.28190476
12.215157	0.27809525
12.215157	0.27174604
12.358885	0.26857144
12.502613	0.26666668
12.646341	0.26920635
12.675087	0.27809525
12.732578	0.3257143
12.847561	0.3879365
12.933798	0.30984128
12.9625435	0.24698412
13.020035	0.24063492
13.192509	0.23428571
13.336237	0.22857143
13.479965	0.22984128
13.652439	0.2279365
13.767422	0.22539683
13.939896	0.23047619
14.083624	0.23492064
14.256098	0.23238096
14.543554	0.22984128
14.802265	0.22920635
15.060976	0.22920635
15.23345		0.23809524
15.405923	0.2615873
15.607142	0.31174603
15.779616	0.2679365
16.009583	0.2793651
16.124565	0.2926984
16.383276	0.30412698
16.584496	0.31492063
16.871952	0.32507935
17.044426	0.33015874
17.2169		0.32698414
17.389372	0.33015874
17.648083	0.32
17.763065	0.32
17.99303		0.32698414
18.222996	0.31873015
18.366724	0.32507935
18.567944	0.33079365
18.740417	0.35746032
18.912891	0.32507935
19.05662		0.31873015
19.25784		0.3225397
19.459059	0.30349207
19.631533	0.28444445
19.77526		0.28126985
19.97648		0.2857143
20.235191	0.28126985
20.350174	0.2768254
20.493902	0.29904762
20.781359	0.2831746
21.011324	0.26920635
21.327526	0.2761905
21.672474	0.27174604
21.988676	0.27555555
22.391115	0.2742857
22.736063	0.28
22.937283	0.2742857
23.167248	0.28
23.425959	0.2831746
23.627178	0.28190476
23.770906	0.28825396
23.914635	0.2888889
24.029617	0.2806349
24.230837	0.27809525
24.40331		0.28190476
24.719513	0.28
24.978224	0.2825397
25.121952	0.29650792
25.351917	0.28507936
25.524391	0.28444445
25.668118	0.2895238
25.898083	0.31301588
26.070557	0.30349207
26.24303	0.29396826
26.386759	0.29079366
26.616724	0.29460317
26.731707	0.29904762
26.90418		0.30349207
27.191637	0.30666667
27.450348	0.31746033
27.622822	0.31111112
27.852787	0.31301588
27.96777		0.32126984
28.16899		0.3288889
28.370209	0.32698414
28.542683	0.32507935
28.772648	0.32825395
